Time (s),F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,notes,Var Fp1
55,19727.3,19826.6,17238.9,14489,15892.4,17725.7,14821.1,13854.4,12933.1,18576.1,30546.6,58472.8,25942.5,17426,24827.8,88842.6,52356.7,13446.2,17619.9,,10.281
56,11679.6,27215.7,17669.2,13936.5,13956.9,16122.9,16478.6,13196.3,16711.1,19330.9,28797.2,87814.6,23972.2,9536.8,37026.5,129904.3,74901.5,10710.5,12185.5,,1.595
57,11581.3,14657.5,10596.3,12886.4,16922.6,12834.1,13190.2,27588.7,30056.2,52055.3,50726.7,224959.3,72378.3,19369.4,94348.9,228204,161496.4,23599.7,25244.5,,0.746
58,10483.1,18674.4,22057.6,22478.1,13887.8,22571.7,23441.5,12758.2,18770.1,20434,33696.1,142029.9,36222.8,13066.3,46369.2,165370.3,92304.9,17946.4,16341.1,,2.204
59,17820.2,24691.7,32149.9,28288.7,25432.3,31917.6,31866.8,21302.3,24941.4,21307.2,29230.3,81287.9,31052.8,17187.6,44964.4,145497.8,63069.2,23284.6,25602.4,,1.773
60,18944.7,16837.1,17253.8,12554.5,17531.3,16253.4,17245.8,21493.5,31666.5,40284.4,38254.5,194324,100228.4,14784.4,61944.5,199221.9,237633.7,25066.2,24543.5,,14.084
61,9118.9,13418.8,14924,12304.7,10342.4,13676.5,13848.5,16193.5,20678.3,16189.9,53964.2,193267.4,55379.2,16368.4,79726.5,215944.5,112832.8,14693.7,9206.6,,3.107
62,41237.7,69787.7,37824.5,25771.9,29347,45742.3,41067.3,17839.6,19651.8,23820.2,44245,111865,37069.8,18478.9,50225.3,199168.4,93563.3,29327.6,32789.9,,46.798
63,90796,73971.8,36891,30501.8,42546.6,87083.2,48405.3,26503.9,23491.5,39146.3,62133,88033.1,54750.2,18326.5,37424.8,169280.3,115245.7,31782.7,36308,,53.423
64,58055.8,18735.6,9710.4,18134.3,11921.9,12865.5,8399.1,26918.3,13359.5,22991,45598.9,48510.3,28527.5,26681.1,44072.7,78869.3,53397.7,17918.4,23810.9,,123.925
65,20720.1,38013,32453.9,33324.5,23957.1,24446.4,33093.6,18665.9,26112.2,17697.9,21291.9,64460,24249.1,17452,29362.6,88580.7,45031.7,27292.7,22291.8,,47.916
66,31950.4,15187.3,20102.6,25180.7,13767.9,13833.6,16649.3,14249.8,14014.4,30259.3,37308.7,143741.4,48272,15394.2,52324.2,223143.2,166890.8,11559.4,21507.7,,5.976
67,10829.7,12035.7,15094.8,12812.4,11444.8,11884.1,11041.2,14357.3,16053.1,12392.9,44612.5,136998.6,27123.9,13215,59047.2,173966.4,53769.4,9559.9,15056.4,,3.196
68,16030.9,26470.2,31891.1,29973.5,19909,208626.8,28821,11176.7,11843.7,26783.9,50568.9,111182,17323.1,11540.7,57422.7,232453.5,50641.3,21350.4,30725.2,,0.988
69,17664,20954.6,21641.5,15411.8,27529.5,120649.1,26894.4,33005.5,37058.8,30658.2,41815,182725.6,59782.7,20902.5,78840.2,196533.9,114135.2,21214.8,12254.9,,0.605
70,13908.9,36192.6,26336,23138.1,21839.5,48034.1,25173.7,13985.4,19901.1,30940.7,47556.5,95315.3,37548.9,13648.4,59122.1,194600.6,127518.8,17875.1,26875.6,,1.427
71,44766.3,84296.3,100961.9,33144.7,39696.6,78767.6,145809.3,28444.6,36484.2,23460.9,30483.7,101315.8,51449,19362.7,43991.3,85239.9,64636.6,29421.2,42169.2,,462.491
72,31849.5,91088.4,55755.4,49778.8,31941.1,96108.5,53801.3,33463.7,22911,46293.8,58311.9,71262.6,36401.3,37190.9,58675.7,158435,90546.9,25321.4,67798.3,,9.609
73,22165.9,34324.2,22899,25346.9,20980,35500.5,33185.2,15150.2,19333.1,103314.4,22743.4,201774.8,126516.7,15568.6,39445.9,169338.6,399260.8,24682.8,36917.1,,83.654
74,11607.5,18727.7,21393.3,17520.7,16955.4,25448.9,25983.7,12369,24294,49799.5,60979.5,218456.8,79087.2,20164.1,76289.1,261719.3,296060.7,18242.7,12107.7,,15.908
75,21196,32533.2,33136.3,26465.6,24816.4,31134.9,30975.7,11646.1,25672.6,42777.2,33045.1,300533.6,109673.3,6278.9,71033.8,278729.5,311290,22933.1,19410.8,,16.682
76,7918.2,27509.1,17603.1,12440.4,12764.6,21970.4,20859.1,13810.7,26823.5,41037.2,40129.5,172116.7,73220.1,9953.1,65670,199331.2,204412.2,17815.5,15020.1,,5.235
77,7948,13896.3,7771.5,11981.6,8360.7,8896.9,9656.2,10444,11062.6,13002.9,38400.4,73987.6,21164,14020.5,46810.1,153002.1,38319.9,8309.2,11435.4,,0.823
78,13268.6,13296.9,14330.7,11916.6,15999.1,18139.7,16652.4,22145.9,21879.1,18872.1,37112.2,60981.1,26366,20939.9,42901.4,77449,52523,15064.7,15890.8,,2.195
79,12328.8,12642.1,19849.3,15904.7,15909.2,23524.5,21331.3,20583.9,26675.7,37816.6,45944.4,191941.1,81861,21452.8,71413.3,186022.5,184722.1,23136.5,22554.6,,1.368
80,18768.8,29568.5,29860,32995.6,25792.7,28166.4,30709.7,29381.8,41461.5,31730.5,62898.5,191352.6,49221.5,26753.9,128594.6,257001.8,72644.7,32617.1,35373.6,,3.993
81,15709.8,17946.5,19823.8,20199.4,17725.1,21342.3,20866.5,22643,22162.3,38013.5,71459.8,163917.8,57595.8,31579.7,92433,263803.3,201539.2,18070.6,21975.2,,1.381
82,16146.1,21256.7,22103,20743.8,26753.8,31715,27954.8,23182.1,33570.5,32355.3,60839.5,174147.2,60586.6,15206.4,71973.4,294451.1,157560.7,23377.6,24606.7,,126.878
83,12707.8,17468,19797.8,17461.3,10359.9,14298,14274.7,13706.5,14758.2,66800.4,61904.4,171187.9,80505.2,16517.1,80800.4,259048.7,226205.7,18790.9,35476.4,,24.636
84,32893.5,35080.4,41946,33564.1,34269.5,39706.9,44571.4,47911.3,52265.4,73099.9,90304.2,247438.3,114002.7,49526.4,109859.7,301508.6,285638.8,46708.9,50633.8,,2.262
85,17147.8,23325.8,22359.8,20206.3,18437.8,22226.8,22983.5,11501.4,18157.2,22353.8,29755.4,96172.4,38367.1,8368.4,33717.7,148906.5,109858.8,14745.9,16142,,23.048
86,15904.8,15179442.2,113489.8,41417.1,22782.6,19389.2,19623.9,22629,36758.3,37301.7,24757.2,107443.6,45109.8,17000,45502.4,93630.4,66145.7,30614.9,33878,,463.449
87,56871.8,73304395.6,608439.5,122708,29776.5,41267,94655.4,40040,263762.5,43733.5,36742.5,35717.4,179973.7,26604.2,28171.6,78004,124959.4,48062.3,93219.7,FRUITION-CALC,1128.988
88,191758.9,266154.6,88096,87079.1,148554.5,234481.4,215980.9,83241,85914.2,28403.7,22498.6,91363.6,115627.5,29810.7,47498.9,90410.7,44414.1,60231.3,167308.9,,461.258
89,17891.5,178518.9,29152.1,25865.6,29344.6,40510.6,37087,35757.5,140308.8,12406.3,11326.8,59680.9,21341.6,12041.8,26278,12357.4,26223.2,43013.7,31320.7,,146.749
90,23342.4,63990.9,14439.2,29657.7,29016.5,18227.1,17367.7,29433.3,22880.2,22609,33630.7,40107.3,19947.9,26346.8,44858,86141.1,49895.2,29619.3,12371.8,,19.738
91,32373.7,59696.3,41500.7,26390.3,26006.4,26570.8,19896.2,19392.7,18999.8,12693.1,57068.5,127067.8,21769.6,14833.2,49564.9,219997.3,79000.5,21068.8,13624.1,,14.413
92,164684.6,32996.9,22204.3,20975.6,28754.4,29767.4,24644,24844.9,31588.8,51031.3,44146,65964.7,64724.5,24784.4,48267.6,145351.8,115114.1,30314.3,28632.2,,1.795
93,11280.5,51326.7,21282.7,18296.2,10997.4,13196.2,19774.2,12735.3,22140.4,30775.8,36107.4,168103.9,59635.3,12737.3,55084.9,192123.1,180918.9,13209.3,17789,,12.517
94,32530.3,38218.5,57706.3,29591.8,21962.1,44897.5,66296.4,13535.5,19699.5,16799.2,45724.3,139350.8,26319.9,15637.3,64199.9,195076,59259.4,18283,21671.4,,269.21
95,24913.9,40848.2,22007.6,9333.2,17364.3,19730.7,13803.3,15728.9,15369,20609.8,37050.1,93813.1,41932.8,21247.2,40054.5,99861.6,93397.2,12406,23745.3,,96.295
96,22461.4,30830.8,24241.1,21551.9,17347.6,24980.4,19458,28748.5,23343.9,80393.1,114445.2,320332.3,124865.1,31537.2,143648.6,393708.8,322200.3,27107.3,42497.7,,37.91
97,17817,17047,30151,22907.8,18551.6,27666.7,28270.6,32736.8,25051.2,54186.6,97614.5,314212.3,93222.3,32592.5,132340.1,339072.7,230938.3,25008.3,32060,,21.224
98,14706.1,16461.4,8118.5,6421.6,12377.8,13060,8591.6,16350.2,21311.1,41064.3,40834.5,250245.2,95950.7,16393.1,72804,183388.5,220672.2,13556.7,14971.7,,1.626
99,20370.5,29626.2,30418.1,26345.5,28666.7,34005.2,37868.4,28030.8,43837.8,44296.7,37149.9,208902.5,85707.5,18236.5,66246.9,162795.4,160493.9,43289.1,35766.1,,1.161
100,12899.6,15644.1,12630.4,10494.9,10693.8,15454.8,17276.5,11024,11213.1,12658.2,14605.5,23138.6,14038.2,11425.7,15179.2,30605.8,16885.5,11920.6,10115.8,,34.228
101,13351.1,13071.6,15889.5,13530.2,13967.1,17280.7,16145.3,14257.3,19113.2,14889.5,22272.2,43701.3,25165.1,13417.4,27622.8,48142.3,14275.2,17792.7,17493.7,,5.205
102,13806.8,19566.4,22805.9,21400.3,17307.4,21007.1,22635.8,13270.9,33037.2,25908.6,11607.8,45941.2,26720.3,9261,18245.2,43930.7,28550.1,19446.2,23900.3,,3.088
103,17472,10827.9,15383.3,19010.7,15311.9,19206,19731.3,21041.9,26817.2,33005.9,56475,126068.1,56137.2,18146.4,66253.3,213818.2,107525.7,28059.5,18949.8,,19.975
