Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
84,0.329,21042.5,26523.5,27700.2,27440.2,27549.3,32310.2,32664.3,25400.5,40711.9,35393.6,12964.3,113628.5,51068.2,16705.0,30549.6,68161.9,64083.8,38169.3,29407.8,0.0,38094.9,
85,0.261,20149.9,23695.0,22115.3,21723.9,20705.2,22966.1,23008.6,20554.5,21650.4,18421.9,37102.6,90135.7,18320.4,19947.6,47255.9,170975.8,69291.2,19155.2,20946.1,0.0,50380.1,
86,0.342,11603.3,16169.3,16762.2,14766.4,16533.2,18341.5,16612.2,8388.2,14269.4,54931.2,18581.2,138556.7,93106.0,7395.8,25026.6,134102.8,217047.7,17485.3,19677.1,0.0,28705.5,
87,0.262,8593.8,8538.1,7293.8,8167.6,9907.6,10076.7,9585.2,16969.7,19237.1,25378.9,22507.1,122746.7,50548.7,13348.2,46005.2,108858.3,140518.6,15047.0,11780.9,0.0,19745.3,
88,0.32,9087.1,12895.7,15797.7,13470.6,11481.5,14276.8,13985.3,8450.0,13596.9,22152.7,16333.6,28923.7,20303.9,10920.4,12509.0,28807.3,101623.9,12535.3,15916.2,0.0,24849.9,
89,0.314,6876.3,7303.5,9654.7,11034.5,9559.5,10148.6,10863.0,9823.7,11039.8,12990.2,10003.9,18716.8,13083.0,8957.5,8277.1,13667.3,24029.1,10671.9,11656.7,0.0,14575.5,
90,0.322,9876.0,15482.6,12461.2,12011.8,13958.5,17204.5,13061.0,11608.7,18761.5,16449.5,7800.2,65427.0,19541.2,7887.2,13614.5,53030.5,85962.9,10700.6,9952.8,0.0,13399.0,
91,0.333,9939.1,13270.6,21636.8,21672.1,14272.6,17999.6,20428.4,14827.4,18379.2,16006.4,22486.9,67003.4,19940.3,12999.1,34521.4,104975.7,60158.4,16653.3,17471.8,0.0,39902.0,
92,0.324,12051.6,11446.2,14189.8,16509.0,12609.5,13963.7,15634.0,14989.3,18169.9,24124.8,22454.1,61982.3,28840.2,17222.1,25875.7,61392.6,23969.3,20591.8,24859.0,0.0,50736.5,
93,0.292,8633.5,8838.2,9150.3,10335.2,11835.7,12937.5,12342.1,12693.5,16217.8,21591.4,16504.9,83223.9,27456.3,10910.0,28670.8,82008.9,55070.7,13040.9,14025.3,0.0,24421.9,
