Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
103,0.33,8409.9,9991.1,19086.3,21114.8,9589.6,13008.8,16721.9,10831.6,14964.1,16363.2,14585.1,19611.2,14897.2,11687.1,38753.2,16221.0,17167.4,17243.6,18644.9,0.0,1001040.9,
104,0.23,6578.3,7505.7,10975.4,13545.4,6655.3,8896.6,10856.8,10556.3,12891.9,20515.8,11638.2,42262.0,30743.2,8235.5,37280.5,21976.7,44449.7,17023.3,18636.2,0.0,966347.5,
105,0.314,15396.4,15354.0,17439.2,19080.5,18104.8,20075.8,18938.7,19821.1,23134.7,26211.8,30854.7,28523.4,23708.4,20777.6,57986.5,55051.7,22515.4,21191.4,25310.4,0.0,840777.5,
106,0.23,8918.7,9937.3,10798.5,9277.6,9378.6,10559.2,10438.6,8799.4,12762.5,8824.6,6356.2,16739.1,8116.5,7221.1,31751.7,11527.5,13560.3,8802.3,10448.2,0.0,1010814.3,
107,0.267,25197.0,29723.0,31833.3,33213.0,31889.4,32862.5,30573.5,36857.4,36182.9,32387.8,29525.3,37146.8,32316.3,33937.9,46152.2,25527.0,27077.6,33227.1,36931.2,0.0,962400.0,
108,0.263,7875.5,9098.3,14749.5,13998.7,12460.5,14154.7,15696.4,12587.4,19122.4,16857.6,15364.5,29921.0,19681.8,9576.6,31503.5,21788.8,20582.3,18119.7,18658.6,0.0,1004889.0,
109,0.246,8558.4,14493.6,21220.4,21679.6,13695.5,17656.7,21147.5,15019.1,26158.0,34937.7,12793.1,58589.3,35150.3,12187.2,41558.5,20479.2,21527.6,27860.3,34727.9,0.0,952784.9,
110,0.28,12717.6,15754.1,21570.6,20894.0,14939.2,19766.0,21679.1,14013.4,24368.9,26838.3,19219.9,84156.8,38555.9,12003.0,23407.7,54844.0,47821.6,25730.0,23642.5,0.0,1049023.6,
111,0.284,14530.6,14539.1,19905.5,22821.0,18122.8,21624.8,22379.9,17551.2,27614.2,27750.4,27146.3,61961.7,33155.4,24047.0,35731.2,52476.7,26711.4,27248.5,29738.5,0.0,1032487.7,
112,0.268,6060.8,5643.5,7194.5,8649.2,6363.1,7967.3,9094.5,5539.6,9622.8,9061.2,6583.8,31318.9,18213.7,7646.4,26781.2,21519.5,19338.2,10100.0,10272.0,0.0,935012.7,
113,0.268,11766.3,10827.8,10665.8,12246.3,12432.6,11247.5,11314.6,15502.3,18054.4,10913.1,11964.9,40578.4,13480.4,12202.0,87180.9,32357.0,25440.3,11802.4,11118.3,0.0,885487.2,
114,0.289,10464.8,13138.4,16822.5,19065.0,14850.6,18634.1,19011.2,24066.5,23042.2,16310.4,36272.3,82655.4,26277.5,17508.8,148945.3,92121.7,33477.6,17546.1,25909.2,0.0,810413.0,
115,0.299,10692.1,10454.9,14188.3,12444.6,15765.3,17012.1,14951.1,22861.5,28085.2,21612.6,28157.8,89970.3,39474.9,18129.9,237035.5,73901.0,39540.3,14950.1,17283.2,0.0,1206283.3,
116,0.296,10873.3,11909.9,14597.3,15054.3,14857.1,16555.9,14888.1,13119.4,17968.5,26656.5,18050.6,75342.2,40145.2,9773.4,119392.5,52400.4,26938.7,18153.3,27293.3,0.0,1098606.7,
117,0.285,9908.0,13518.7,14397.3,15233.1,15495.6,16945.4,16812.3,16284.0,23774.4,19413.3,17390.5,50328.5,27411.3,9468.4,122867.5,45753.2,27086.9,15511.9,17255.4,0.0,1029189.3,
118,0.218,14791.2,16608.8,23067.2,30586.5,17670.6,23855.2,30884.7,15639.7,30917.2,47238.0,15766.4,71711.9,51969.1,13904.5,41679.6,35277.3,64739.0,36505.6,47024.7,0.0,1033113.8,
119,0.347,13228.2,13539.0,16929.4,16104.7,17414.1,20844.3,19574.1,19728.3,35203.4,24524.1,15087.6,60928.5,27493.5,13692.0,53254.8,24382.5,47797.8,18496.8,20709.6,0.0,915659.8,
120,0.273,11426.9,15436.7,18852.8,17074.2,19493.0,23511.5,20654.2,19060.4,30837.2,21219.1,20963.2,31631.2,26175.9,12866.7,88669.6,20858.9,21641.9,19200.4,17483.2,0.0,987036.5,
121,0.282,12995.0,13272.9,9502.8,10815.7,12931.8,10670.3,9178.2,13677.6,9999.1,8505.9,12490.7,9009.5,7600.1,16239.4,26174.9,8691.9,6629.8,7979.8,12732.5,0.0,1028920.4,
122,1.54,7599.7,8031.3,10901.9,11247.2,7995.1,10095.1,11068.2,12084.1,13137.9,15910.2,7410.4,10574.3,12790.8,7664.4,39566.9,7435.4,11588.9,12288.8,15972.5,0.0,990833.5,
